epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4520.4,1.68818,3.18138,1.55232,0.37938,0.01227,0.01025,0.00445,1.96421,3.23216,1.79239,0.000237799,0.000237799,0.000237799
2,14452.3,1.7174,2.74681,1.58435,0.3715,0.01775,0.00749,0.00315,2.00071,3.05287,1.81847,0.000428695,0.000428695,0.000428695
3,30952.2,1.6985,2.66432,1.57383,0.20146,0.0162,0.00645,0.00313,1.98633,2.93257,1.71299,0.000572467,0.000572467,0.000572467
